time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1717837436        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837446        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837456        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837467        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837477        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837487        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837497        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837508        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837518        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837528        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837538        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837549        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837559        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837569        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837582        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837593        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837604        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837614        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837625        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837635        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837645        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837655        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837666        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837676        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837686        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837697        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837707        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837717        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837727        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837738        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837748        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837759        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837769        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837779        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837789        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837800        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837810        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837820        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837831        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837841        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837851        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837862        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837872        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837882        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837893        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837903        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837913        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837923        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837934        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837944        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837954        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837965        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837975        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837985        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717837995        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838006        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838016        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838026        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838037        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838047        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838057        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838068        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838078        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838088        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838098        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838109        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838119        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838129        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838139        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838150        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838160        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838170        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838181        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838191        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838201        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838211        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838222        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838232        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838242        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838253        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838263        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838273        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838283        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838294        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838304        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838314        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838324        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838335        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838345        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838355        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838366        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838376        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838386        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838396        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838407        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838417        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838427        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838442        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838453        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838463        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838473        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838483        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838494        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838504        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838514        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838525        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838535        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838545        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838555        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838566        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838576        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838587        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838599        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838609        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838620        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838630        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838644        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838655        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838665        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838675        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838685        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838696        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838706        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838716        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838727        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838737        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838748        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838758        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838768        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1717838779        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
