TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch1-RQ      scratch1-RD      scratch1-WR      scratch2-RQ      scratch2-RD      scratch2-WR      scratch3-RQ      scratch3-RD      scratch3-WR      
1717837435        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837445        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837455        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837465        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837476        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837486        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837496        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837506        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837517        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837527        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837537        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837547        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837558        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837568        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837578        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837589        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837599        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837609        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837620        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837632        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837643        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837653        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837663        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837674        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837684        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837694        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837705        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837715        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837725        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837736        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837746        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837757        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837767        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837777        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837788        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837798        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837808        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837818        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837829        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837839        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837849        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837860        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837870        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837880        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837891        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837901        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837911        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837922        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837932        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837942        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837952        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837963        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837973        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837984        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837994        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838004        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838014        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838025        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838035        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838045        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838056        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838066        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717838076        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
