#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1717837433        0.530617          0.530617          0.013752          0.013752          0.000000          144.057000        0.013752         
1717837443        7.039780          7.039780          0.191956          0.191956          0.000000          143.966000        0.191956         
1717837454        13.293300         13.293300         0.771942          0.771942          0.000000          143.168000        0.771942         
1717837464        14.299800         14.299800         1.326410          1.326410          0.000000          142.655000        1.326410         
1717837474        16.637300         16.637300         2.354040          2.354040          0.000000          141.065000        2.354040         
1717837484        16.637300         14.873200         2.354040          1.661790          0.000000          141.400000        2.354040         
1717837495        23.705700         23.705700         6.595220          6.595220          0.000100          137.082000        6.595320         
1717837505        32.704100         32.704100         12.455000         12.455000         0.000100          129.220000        12.455100        
1717837515        32.704100         32.196100         12.857200         12.857200         0.000100          128.754000        12.857300        
1717837526        34.272300         34.272300         13.806400         13.806400         0.000100          127.827000        13.806500        
1717837536        34.457200         34.457200         13.998400         13.998400         0.000100          127.516000        13.998500        
1717837546        39.643200         39.643200         18.809500         18.809500         0.000100          122.913000        18.809600        
1717837557        39.657800         39.657800         18.825500         18.825500         0.000100          122.899000        18.825600        
1717837567        39.657800         39.657800         18.825800         18.825800         0.000100          122.896000        18.825900        
1717837577        39.657800         39.657800         18.825800         18.824000         0.000100          122.891000        18.825900        
1717837588        41.316900         41.316900         20.483400         20.483400         0.000100          121.170000        20.483500        
1717837598        41.316900         40.157800         20.483400         20.306400         0.000100          121.160000        20.483500        
1717837608        41.316900         38.484700         20.483400         17.711900         0.000100          123.995000        20.483500        
1717837619        50.120800         50.120800         29.338700         29.338700         0.000100          111.655000        29.338800        
1717837631        50.360600         50.360600         29.368700         29.368700         0.000100          110.803000        29.368800        
1717837641        50.360600         30.629400         29.368700         10.094700         0.000100          131.578000        29.368800        
1717837652        50.360600         33.596000         29.368700         10.930800         0.000100          130.791000        29.368800        
1717837662        50.360600         34.177700         29.368700         11.342800         0.000100          130.249000        29.368800        
1717837672        50.360600         34.033500         29.368700         11.595600         0.000100          129.669000        29.368800        
1717837683        50.360600         33.866200         29.368700         12.082200         0.000100          129.093000        29.368800        
1717837693        50.360600         33.242400         29.368700         11.900300         0.000100          129.273000        29.368800        
1717837703        50.360600         32.676100         29.368700         11.668900         0.000200          129.478000        29.368800        
1717837714        50.360600         32.600300         29.368700         11.667400         0.000200          129.448000        29.368800        
1717837724        50.360600         32.599400         29.368700         11.672100         0.000200          129.441000        29.368800        
1717837734        50.360600         33.083500         29.368700         12.049900         0.000200          128.986000        29.368800        
1717837745        50.360600         32.587400         29.368700         11.649000         0.000200          129.456000        29.368800        
1717837755        50.360600         32.667500         29.368700         11.698300         0.000200          129.409000        29.368800        
1717837765        50.360600         32.667500         29.368700         11.699800         0.000200          129.407000        29.368800        
1717837776        50.360600         32.667500         29.368700         11.700800         0.000200          129.404000        29.368800        
1717837786        50.360600         32.667500         29.368700         11.701900         0.000200          129.402000        29.368800        
1717837796        50.360600         32.667500         29.368700         11.703000         0.000200          129.403000        29.368800        
1717837807        50.360600         32.667500         29.368700         11.703700         0.000200          129.401000        29.368800        
1717837817        50.360600         32.667500         29.368700         11.705800         0.000200          129.401000        29.368800        
1717837827        50.360600         32.660000         29.368700         11.694600         0.000200          129.400000        29.368800        
1717837838        50.360600         32.653900         29.368700         11.704500         0.000200          129.383000        29.368800        
1717837848        50.360600         33.424700         29.368700         11.968000         0.000200          129.137000        29.368800        
1717837858        50.360600         34.467200         29.368700         12.498700         0.000100          128.617000        29.368800        
1717837869        50.360600         33.789200         29.368700         12.313100         0.000100          128.289000        29.368800        
1717837879        50.360600         34.823500         29.368700         12.860700         0.000100          127.379000        29.368800        
1717837889        50.360600         34.030700         29.368700         12.451000         0.000100          127.452000        29.368800        
1717837900        50.360600         33.997200         29.368700         12.393700         0.000100          127.707000        29.368800        
1717837910        50.360600         33.342000         29.368700         12.129700         0.000100          128.086000        29.368800        
1717837920        50.360600         32.765800         29.368700         11.686100         0.000100          128.499000        29.368800        
1717837931        50.360600         32.826900         29.368700         11.735300         0.000100          128.365000        29.368800        
1717837941        50.360600         32.873200         29.368700         11.754600         0.000100          128.377000        29.368800        
1717837951        50.360600         32.919100         29.368700         11.777700         0.000100          128.300000        29.368800        
1717837962        50.360600         32.919100         29.368700         11.777900         0.000100          128.298000        29.368800        
1717837972        50.360600         32.919100         29.368700         11.778000         0.000100          128.298000        29.368800        
1717837982        50.360600         32.919100         29.368700         11.778000         0.000100          128.296000        29.368800        
1717837993        50.360600         32.920100         29.368700         11.779300         0.000100          128.297000        29.368800        
1717838003        50.360600         32.920100         29.368700         11.779400         0.000100          128.297000        29.368800        
1717838013        50.360600         32.920100         29.368700         11.779400         0.000100          128.297000        29.368800        
1717838024        50.360600         32.916300         29.368700         11.776900         0.000100          128.300000        29.368800        
1717838034        50.360600         32.919900         29.368700         11.780700         0.000100          128.297000        29.368800        
1717838044        50.360600         32.921300         29.368700         11.782200         0.000100          128.296000        29.368800        
