#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1717837436 1854895675 1731643464 2835887 0 14787069 14851662 968775 11513 63528.31 83969.50 31240.44 12776.47
1717837446 1854895814 1731643466 2835887 0 14788218 14852122 968775 11513 63442.56 83746.78 31326.57 12999.73
1717837456 1854896263 1731643474 2835887 0 14788887 14852768 968775 11515 63288.23 83408.48 31480.93 13338.13
1717837467 1854896643 1731643484 2835887 0 14789063 14852994 968775 11515 63196.41 83289.40 31572.78 13456.68
1717837477 1854898099 1731643538 2835887 0 14790282 14853883 968775 11515 62242.31 82618.19 32526.32 14127.39
1717837487 1854899372 1731643566 2835887 0 14791173 14854776 968775 11515 62406.00 82414.91 32342.54 14331.55
1717837497 1854901003 1731643610 2835887 0 14792483 14856240 968775 11515 61998.28 81920.05 32773.80 14835.32
1717837507 1854910210 1731646514 2835887 0 14797990 14861253 968775 11515 56631.98 77006.46 38137.51 19740.61
1717837518 1854917368 1731650248 2835887 0 14809035 14869666 968775 11515 56498.35 76416.55 38273.97 20328.42
1717837528 1854919268 1731651076 2835887 0 14820529 14881694 968775 11515 57639.55 79962.60 37127.16 16777.55
1717837538 1854920205 1731651080 2835887 0 14832049 14893091 968775 11515 57674.29 79910.32 37094.20 16839.02
1717837549 1854929438 1731658390 2835887 0 14836029 14896778 968775 11515 54997.41 80871.11 39771.34 15878.45
1717837559 1854946655 1731674652 2835887 0 14836315 14897002 968775 11515 53297.28 78713.43 41471.34 18033.04
1717837569 1854950456 1731677874 2835887 0 14836381 14897123 968775 11515 53287.79 78722.15 41481.43 18025.89
1717837582 1854954238 1731680956 2835887 0 14836547 14897467 968775 11515 53192.15 78800.26 41577.12 17945.71
1717837593 1854958151 1731684340 2835887 0 14836675 14897505 968775 11515 52447.62 79541.94 42321.00 17205.52
1717837604 1854960953 1731686708 2835887 0 14836752 14897751 968775 11515 52361.93 79628.63 42406.70 17117.88
1717837614 1854964810 1731689890 2835887 0 14836952 14897896 968775 11515 52241.84 79741.20 42528.29 17004.78
1717837625 1854969041 1731693844 2835887 0 14837591 14898063 968775 11515 40590.83 77249.45 54177.38 19497.01
1717837635 1854974464 1731698692 2835887 0 14838469 14898391 968775 11515 39904.53 77109.09 54864.12 19637.96
1717837645 1854977976 1731701258 2835887 0 14839221 14898664 968775 11515 57827.68 81641.98 36941.84 15104.48
1717837655 1854979353 1731701490 2835887 0 14839643 14898856 968775 11515 59274.61 81499.34 35495.15 15248.29
1717837666 1854980651 1731702054 2835887 0 14840814 14899710 968775 11515 58955.28 81447.07 35815.20 15299.89
